               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090897,            0.047394,                   0,           0.0022896,             0.34343,           0.0042462,          0.00080369,            0.059876,            0.037964,                   0,            0.070086,           0.0033238,           0.0033238
                   1,            0.065792,            0.036157,                   0,             0.00367,             0.55051,             0.01181,           0.0024119,            0.067301,             0.03208,                   0,            0.037889,           0.0044603,           0.0044603
                   2,            0.057931,            0.036682,                   0,           0.0055219,             0.82828,            0.015086,           0.0033236,            0.083356,            0.026192,                   0,            0.003492,           0.0033968,           0.0033968
