               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062445,            0.030746,                   0,               0.003,                 0.9,            0.010646,           0.0019814,            0.027459,            0.018051,                   0,            0.070667,           0.0032593,           0.0032593
                   1,             0.05466,            0.031283,                   0,           0.0033333,                   1,            0.068772,            0.020925,            0.018409,            0.015733,                   0,            0.038491,            0.004417,            0.004417
                   2,            0.046968,            0.031189,                   0,           0.0033333,                   1,            0.069344,            0.024577,            0.017908,            0.015519,                   0,           0.0041156,           0.0033748,           0.0033748
