               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084973,              0.2818,                   0,             0.52503,             0.69502,             0.58363,               0.215,            0.062368,             0.20921,                   0,            0.070149,           0.0033168,           0.0033168
                   1,            0.058397,             0.27318,                   0,             0.51022,             0.80684,             0.56365,             0.25769,            0.049993,             0.20229,                   0,            0.037954,           0.0044556,           0.0044556
                   2,             0.05232,             0.27068,                   0,             0.88808,             0.85189,             0.90207,             0.44679,            0.043204,             0.20298,                   0,           0.0035594,           0.0033944,           0.0033944
