               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063967,            0.037158,                   0,           0.0070269,             0.65152,             0.02396,           0.0046297,            0.062602,            0.031637,                   0,            0.070086,           0.0033238,           0.0033238
                   1,            0.043197,            0.029422,                   0,             0.24636,             0.58586,             0.24676,            0.044746,            0.051079,            0.031397,                   0,            0.037889,           0.0044603,           0.0044603
                   2,            0.037725,             0.02314,                   0,             0.40781,             0.63636,             0.37869,             0.10154,            0.051272,            0.025848,                   0,            0.003492,           0.0033968,           0.0033968
