               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066112,            0.036233,                   0,           0.0033333,                 0.5,           0.0081891,           0.0017675,             0.12062,            0.024965,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.053537,            0.036101,                   0,             0.21732,                0.65,             0.24949,            0.054525,             0.11083,            0.023271,                   0,            0.038491,            0.004417,            0.004417
                   2,            0.056173,            0.030714,                   0,             0.14668,                0.55,             0.13416,            0.027241,             0.10699,            0.024662,                   0,           0.0041156,           0.0033748,           0.0033748
